#{"t_start": 1772341269.333074, "env_id": "None"}
r,l,t
129.424799,500,8020.698784
85.949147,500,8031.932795
50.540117,500,8046.733721
16.776312,500,8057.973102
74.978014,500,8069.214433
-3.804245,500,8080.42814
-3.798772,500,8095.19641
-2.744414,500,8106.446834
-1.546711,500,8117.691109
2.461531,500,8128.891215
1.140839,500,8143.494655
12.939356,500,8154.750143
72.599356,500,8165.966215
64.363224,500,8177.17061
33.049719,500,8191.792414
92.352323,500,8203.008896
126.31445,500,8214.223834
95.881831,500,8225.469234
151.974577,500,8240.220115
114.031981,500,8251.407859
63.756812,500,8262.624555
112.928378,500,8273.823485
145.255438,500,8288.591823
61.699472,500,8299.772323
-3.996547,500,8310.957879
-1.515944,500,8322.193849
-7.473284,500,8337.076547
-88.471842,500,8348.031753
-40.467473,500,8358.864913
-128.247139,500,8368.969613
-182.992976,500,8378.641609
-110.147254,500,8392.383219
-149.966155,500,8402.462202
-6.48193,500,8413.436912
-6.831709,500,8424.893257
-0.117976,500,8439.797509
6.183454,500,8453.107233
0.940783,500,8464.402035
-3.210188,500,8476.454061
-7.643259,500,8493.646912
8.491331,500,8510.658394
0.067404,500,8524.359906
-5.003454,500,8538.233659
0.525482,500,8559.819245
-4.443409,500,8574.060724
-33.590811,500,8587.061133
-2.531404,500,8601.383309
12.539846,500,8623.830732
14.286638,500,8638.337504
1.426117,500,8653.336075
-1.260109,500,8667.963292
-8.458064,500,8691.330147
-12.115218,500,8704.81146
-0.594468,500,8718.243151
8.763085,500,8731.859725
-0.825352,500,8751.552704
87.394174,500,8765.449279
141.9052,500,8779.062648
97.810692,500,8792.663273
131.268612,500,8814.173487
166.740241,500,8827.877272
119.927734,500,8841.833434
60.464707,500,8854.24604
130.219809,500,8880.170994
131.300797,500,8893.721275
120.548461,500,8907.00287
102.762644,500,8920.359821
157.651955,500,8940.28914
167.303459,500,8953.499513
129.995744,500,8966.649343
113.692713,500,8979.802866
115.143685,500,8992.94032
124.570529,500,9013.588064
98.09431,500,9026.750586
148.494038,500,9040.008214
144.416212,500,9053.182268
172.297306,500,9073.447299
140.660941,500,9086.747898
43.689661,500,9100.086524
27.809067,500,9113.342713
70.398161,500,9134.045613
76.769391,500,9147.258297
50.862708,500,9160.502521
87.710142,500,9173.724979
118.914213,500,9194.150457
98.001117,500,9207.353912
92.437036,500,9220.507678
113.092981,500,9233.764703
120.525832,500,9254.580259
141.951138,500,9268.202198
172.85084,500,9281.842804
171.141266,500,9295.503278
180.391283,500,9317.785991
167.921749,500,9331.772539
166.589478,500,9342.866422
165.592297,500,9354.03299
124.870535,500,9369.853077
190.801256,500,9380.953269
175.938395,500,9392.080633
150.001629,500,9403.214087
154.679569,500,9417.881296
175.205535,500,9429.906264
126.803721,500,9444.65044
85.320796,500,9459.776127
81.675211,500,9474.647877
129.398351,500,9485.776447
143.214199,500,9496.88949
144.656165,500,9510.153116
155.77732,500,9528.324723
147.062148,500,9542.149315
155.422231,500,9554.361354
148.427015,500,9566.165871
184.639571,500,9580.763039
195.651873,500,9591.885634
160.542148,500,9603.538664
139.563621,500,9615.608785
143.864743,500,9627.167525
111.364488,500,9644.605559
140.528241,500,9655.858594
161.622568,500,9667.452998
175.013024,500,9678.73732
100.807023,500,9695.039428
115.017798,500,9710.370519
114.509866,500,9722.906342
113.912856,500,9734.070621
60.643611,500,9748.556601
25.608293,500,9759.642353
45.253059,500,9770.774796
58.708752,500,9781.892897
30.201186,500,9796.253938
20.566207,500,9807.322093
60.882788,500,9818.425671
46.481492,500,9829.509616
63.002829,500,9843.99459
69.209489,500,9855.092874
80.716208,500,9866.174285
87.334729,500,9877.274843
64.09277,500,9891.74914
78.213774,500,9902.830088
96.020983,500,9913.934519
132.501698,500,9925.055295
112.66177,500,9939.542892
131.623506,500,9950.600397
108.915723,500,9961.669835
132.007367,500,9972.763894
131.018349,500,9987.258943
128.015983,500,9998.309579
113.813184,500,10009.381953
135.535536,500,10020.45823
150.486658,500,10034.889258
138.489255,607,10049.746464
167.712822,500,10061.728294
95.901624,500,10074.305244
112.905485,500,10101.37919
108.306634,500,10121.841379
144.273307,500,10139.065404
88.637287,500,10151.527554
36.963527,500,10167.765979
64.740778,500,10178.873897
-21.388872,500,10189.511312
-12.478558,500,10200.266491
-61.258296,500,10216.499819
129.600942,500,10228.280586
98.910189,500,10239.494503
179.189336,500,10250.68203
184.610941,500,10261.848103
183.748508,500,10276.445252
178.489562,500,10287.626539
166.290658,500,10298.839028
149.438319,500,10310.02564
122.801961,500,10324.553954
105.6255,500,10335.719613
126.094734,500,10346.859455
121.589414,500,10358.010133
129.386093,500,10372.500631
94.632418,500,10383.639429
110.044057,500,10394.763775
126.865607,500,10405.886077
160.609586,500,10421.41839
160.689935,500,10432.596106
190.536148,500,10443.734928
178.755112,500,10454.982801
151.307655,500,10469.484692
210.62035,500,10480.633048
175.507323,500,10491.75366
176.724178,500,10502.886954
182.890003,500,10518.028147
169.903911,500,10529.175208
123.561076,500,10540.344708
99.311115,500,10551.480035
135.344355,500,10567.093625
161.817183,500,10578.202065
15.426095,500,10589.357588
164.682908,500,10600.480916
-89.741014,500,10614.874741
180.09243,500,10626.03053
166.377659,500,10637.311956
165.700912,500,10648.440681
146.437163,500,10662.955462
166.497121,500,10674.093477
172.31432,500,10685.229877
162.582085,500,10696.376844
82.89778,500,10710.698834
165.015329,500,10721.85818
108.071164,500,10732.568202
-124.066854,500,10744.942899
148.884278,500,10764.573885
157.800957,500,10781.393847
161.130674,500,10792.58407
158.695206,500,10803.685074
149.320063,500,10814.789982
147.304745,500,10829.375664
147.458287,500,10840.486732
157.626769,500,10851.569551
149.219786,500,10862.706092
154.431776,500,10877.242956
121.086545,500,10888.350832
138.532051,500,10899.442481
145.439051,500,10910.557647
141.348653,500,10925.503507
212.663142,500,10936.794696
240.272026,965,10959.195595
-4.361368,500,10973.918323
76.273489,500,10985.175723
157.970437,500,10996.43808
159.602909,500,11007.707727
164.896185,500,11032.118555
170.820573,500,11044.707155
205.841786,500,11058.676608
194.503835,500,11074.097242
181.072359,500,11095.20125
193.142806,500,11112.092922
208.936864,500,11128.274266
193.533914,500,11140.535469
175.897263,500,11160.679595
175.52908,500,11171.961617
178.431291,500,11183.039067
188.6238,500,11194.756815
169.712573,500,11209.550747
137.662093,500,11220.669461
136.197639,500,11231.817586
151.847677,500,11242.853963
154.440812,500,11259.831953
141.908673,500,11271.893836
257.452796,840,11291.855533
111.863292,500,11303.071594
-171.001557,987,11329.0739
72.271931,500,11340.339406
179.687611,500,11351.601083
-238.651032,571,11368.173023
93.46274,500,11379.523979
-254.364439,769,11396.899237
8.564055,500,11411.307985
150.973582,500,11422.501613
176.258236,500,11433.684277
-448.305601,843,11452.21365
85.583227,500,11466.962229
153.174018,500,11478.291868
162.214793,500,11489.592761
-128.51503,500,11500.723782
-111.657446,500,11515.062729
46.729384,500,11526.254544
89.804398,500,11537.40719
190.105849,500,11548.688882
180.563668,500,11563.40738
178.177261,500,11574.614774
181.459446,500,11585.919104
188.012882,500,11597.238252
172.590865,500,11612.035811
164.270243,500,11623.33283
167.036532,500,11635.591321
138.84775,500,11646.822814
133.673227,500,11661.450345
125.524297,500,11672.603426
133.810484,500,11683.791167
94.371297,500,11694.921976
80.277312,500,11709.723019
113.37004,500,11720.9075
137.764752,500,11732.060586
164.883306,500,11743.183942
166.267029,500,11757.767939
161.030218,500,11768.911928
151.866869,500,11780.254426
181.895667,500,11791.506834
182.124015,500,11806.130678
183.222475,500,11817.32454
174.305909,500,11828.540979
177.476364,500,11839.773495
191.542675,500,11851.025135
188.314028,500,11865.604045
189.388459,500,11876.82717
175.569395,500,11888.082183
182.654754,500,11899.332742
182.12393,500,11914.031072
183.954176,500,11925.296036
172.516523,500,11936.515899
186.937875,500,11949.611524
192.542,500,11966.320915
170.438362,500,11978.033558
193.49658,500,11989.37658
192.927644,500,12000.640111
187.578633,500,12015.552536
202.351895,500,12027.04245
185.210418,500,12038.216021
189.794136,500,12049.377796
188.92399,500,12063.918528
196.220709,500,12075.114294
197.560708,500,12086.337252
180.918846,500,12097.526904
190.386037,500,12112.147086
189.442195,500,12123.364957
198.090929,500,12134.563448
203.942116,500,12145.79857
183.528281,500,12160.647752
194.346513,500,12171.84979
189.320064,500,12183.077052
186.30867,500,12194.292553
188.019429,500,12209.654922
199.060576,500,12221.090841
203.272654,500,12232.299475
190.56091,500,12243.48552
201.14628,500,12258.297022
214.858474,500,12269.463233
195.554869,500,12280.655257
194.568508,500,12291.88289
198.039687,500,12307.182891
221.792722,500,12318.448282
189.208404,500,12329.661307
183.4732,500,12340.840274
193.021803,500,12352.009314
199.001606,500,12366.635117
200.549659,500,12377.805608
198.641677,500,12388.986413
172.961791,500,12400.169499
154.986358,500,12414.764466
182.47309,500,12425.97668
213.375399,762,12443.284063
-255.219371,500,12457.402962
182.266586,500,12468.602091
167.183447,500,12479.823107
178.129398,500,12491.303235
309.051129,1219,12522.197225
69.667093,500,12533.363515
151.807019,500,12544.504317
231.874291,500,12559.120741
228.173025,500,12570.264562
193.859916,500,12581.403662
223.320845,500,12592.662061
210.437153,500,12607.461446
203.692011,500,12618.601949
202.674281,500,12629.752308
211.169686,500,12640.91881
200.024121,500,12655.870532
201.874678,500,12667.067147
196.606389,500,12678.215306
196.102681,500,12689.336794
205.560877,500,12703.944997
210.062354,500,12715.080787
200.880759,500,12726.250541
212.615881,500,12737.404467
206.307262,500,12752.157342
213.40873,500,12763.271381
130.23266,582,12776.466713
102.093887,500,12787.652991
169.81076,500,12802.263353
193.43751,500,12813.757556
224.477422,500,12825.021707
229.008684,500,12836.338814
181.255588,500,12851.152106
212.117242,500,12862.433995
204.426652,500,12873.694528
236.632122,500,12884.947166
262.029354,500,12899.762227
147.610606,731,12916.654869
-2.499069,500,12928.161668
247.318557,873,12951.719223
139.779409,500,12962.939614
346.899063,878,12982.768221
139.465361,500,12993.984679
228.7496,500,13008.775137
280.822762,500,13020.006428
223.74221,500,13031.280387
232.550464,500,13042.560898
216.428292,500,13057.403799
220.65492,500,13068.551251
193.976732,500,13079.707492
